Runs,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date
136,122,16,2,111.47,3,bowled,2,ODI , Bangladesh,Fatullah,26-Feb-14
48,51,4,1,94.11,3,bowled,1,ODI , Sri Lanka,Fatullah,28-Feb-14
5,11,0,0,45.45,3,caught,1,ODI , Pakistan,Mirpur,02-Mar-14
36,32,4,1,112.5,3,not out,2,T20I , Pakistan,Mirpur,21-Mar-14
54,41,5,1,131.7,3,bowled,2,T20I , West Indies,Mirpur,23-Mar-14
57,50,3,1,114,3,not out,2,T20I , Bangladesh,Mirpur,28-Mar-14
23,22,2,1,104.54,3,caught,1,T20I , Australia,Mirpur,30-Mar-14
72,44,5,2,163.63,3,not out,2,T20I , South Africa,Mirpur,04-Apr-14
77,58,5,4,132.75,3,run out,1,T20I , Sri Lanka,Mirpur,06-Apr-14
1,8,0,0,12.5,4,caught,1,Test , England,Nottingham,09-Jul-14
8,29,1,0,27.58,4,lbw,3,Test , England,Nottingham,09-Jul-14
25,34,4,0,73.52,4,caught,1,Test , England,Lord's,17-Jul-14
0,1,0,0,0,4,bowled,3,Test , England,Lord's,17-Jul-14
39,75,3,0,52,4,caught,2,Test , England,Southampton,27-Jul-14
28,56,3,0,50,4,caught,4,Test , England,Southampton,27-Jul-14
0,2,0,0,0,4,caught,1,Test , England,Manchester,07-Aug-14
7,11,1,0,63.63,4,caught,3,Test , England,Manchester,07-Aug-14
6,18,1,0,33.33,4,lbw,1,Test , England,The Oval,15-Aug-14
20,54,2,0,37.03,4,caught,3,Test , England,The Oval,15-Aug-14
0,3,0,0,0,3,caught,1,ODI , England,Cardiff,27-Aug-14
40,50,2,1,80,3,caught,2,ODI , England,Nottingham,30-Aug-14
1,3,0,0,33.33,3,not out,2,ODI , England,Birmingham,02-Sep-14
13,21,2,0,61.9,3,caught,2,ODI , England,Leeds,05-Sep-14
66,41,9,1,160.97,3,caught,2,T20I , England,Birmingham,07-Sep-14
2,5,0,0,40,3,caught,2,ODI , West Indies,Kochi,08-Oct-14
